roster_id,nurse_id,ward_id,shift_date,shift_id,actual_start_time,actual_end_time,actual_hours,is_overtime,overtime_hours,is_charge_nurse,status,absence_type,notes,created_at,updated_at
991a7c15-a214-4dd1-99ba-14628dce213b,N0001,W002,2024-11-24,E,15:00,23:00,8,False,0,False,COMPLETED,,,2026-01-14 02:44:54.185997,2026-01-14 02:44:54.185999
8e86fb07-613e-4a54-8d5f-82db4b0092d7,N0002,W002,2024-11-24,D,07:00,15:00,8,False,0,False,COMPLETED,,,2026-01-14 02:44:54.186364,2026-01-14 02:44:54.186365
977bf423-ec51-4848-9467-fd0bde19d744,N0003,W004,2024-11-24,N,23:00,07:00,8,False,0,False,COMPLETED,,,2026-01-14 02:44:54.186709,2026-01-14 02:44:54.186710
4a40b356-bf0e-4ef9-aeb6-b1fbc9d33d51,N0004,W001,2024-11-24,N,23:00,07:00,8,False,0,False,COMPLETED,,,2026-01-14 02:44:54.187066,2026-01-14 02:44:54.187067
464bab6f-e0f7-4500-8ede-ce0ec87cc0cf,N0005,W006,2024-11-24,D,07:00,15:00,8,False,0,False,COMPLETED,,,2026-01-14 02:44:54.187402,2026-01-14 02:44:54.187403
81f7b9e2-fe73-413b-8ae2-13e56856bd0a,N0006,W008,2024-11-24,E,15:00,23:00,8,False,0,False,COMPLETED,,,2026-01-14 02:44:54.187725,2026-01-14 02:44:54.187726
0dee0616-10d2-44fa-ac70-44c8b4ad3834,N0007,W006,2024-11-24,OFF,,,0,False,0,False,COMPLETED,,,2026-01-14 02:44:54.187803,2026-01-14 02:44:54.187804
35d835fc-81c5-4b04-9aad-498a80ce3fbb,N0008,W004,2024-11-24,D,07:00,15:00,8,False,0,False,COMPLETED,,,2026-01-14 02:44:54.188145,2026-01-14 02:44:54.188146
698a84d0-bc98-4a44-9582-b7846ecee4e0,N0009,W005,2024-11-24,D,07:00,15:00,8,False,0,False,COMPLETED,,,2026-01-14 02:44:54.188519,2026-01-14 02:44:54.188520
d15ab504-6d78-4c7e-86d7-c01f3940c50a,N0010,W003,2024-11-24,D,07:00,15:00,8,False,0,False,COMPLETED,,,2026-01-14 02:44:54.188831,2026-01-14 02:44:54.188832
